neighborhood,listings
Long Island City, 218
Williamsburg, 116
Maspeth, 106
Sunset Park, 79
Jamaica, 76
Astoria, 73
Hunters Point, 70
Greenpoint, 66
College Point, 58
East New York, 56
Sunnyside, 52
Red Hook, 45
Ridgewood, 45
Hunts Point, 43
Bushwick, 39
East Flatbush, 38
Woodside, 37
Canarsie, 31
Springfield Gardens, 30
Gowanus, 30
Port Morris, 27
Ozone Park, 25
Borough Park, 25
Mott Haven, 24
Bedford Stuyvesant, 23
Flushing (Downtown), 22
Richmond Hill, 22
Crown Heights, 22
Steinway, 19
Brownsville, 15
Gravesend, 14
Glendale, 14
East Williamsburg, 13
Clinton Hill, 13
Claremont Village, 13
Prospect Heights, 12
Eastchester, 12
Far Rockaway, 12
Queens Village, 11
East Elmhurst, 11
Coney Island, 10
Middle Village, 10
Hollis, 9
St. Albans, 9
Flatbush, 9
Unionport, 9
Sheepshead Bay, 8
Ocean Hill, 8
Wakefield, 8
Midwood, 8
Elmhurst, 7
Fordham, 7
Rosedale, 7
Park Slope, 7
Rego Park, 7
Soundview, 7
Forest Hills, 6
Bayside, 6
Concourse Village, 6
Pelham Bay, 6
Morris Park, 5
Melrose, 5
Morrisania, 5
East Tremont, 5
Washington Heights, 5
Flatlands, 5
Murray Hill, 5
Longwood, 5
Greenwood Heights, 5
